Period,Area,Mission,Category,Indicator,Observation,Lower Confidence Interval (95%),Upper Confidence Interval (95%)
2020,E09000003,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,538.8,534.699999999999,542.9
2021,E09000003,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,574.9,569.1,580.699999999999
2022,E09000003,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,624.0,619.3,628.7
2008,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,483.9,477.9,489.9
2009,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,486.3,481.7,490.9
2010,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,518.1,513.7,522.5
2011,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,505.1,500.2,510.0
2012,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,509.1,504.3,513.9
2013,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,497.9,493.299999999999,502.5
2014,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,512.6,508.0,517.2
2015,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,491.1,486.3,495.9
2016,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,487.0,481.4,492.6
2017,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,513.0,508.4,517.6
2018,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,512.7,507.3,518.1
2019,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,553.4,548.3,558.5
2020,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,566.5,558.9,574.1
2021,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,586.6,580.8,592.4
2022,E09000004,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,641.5,636.3,646.7
2008,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,437.0,431.5,442.5
2009,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,439.1,434.2,444.0
2010,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,423.1,418.4,427.8
2011,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,414.9,410.099999999999,419.7
2012,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,442.0,437.7,446.3
2013,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,441.8,437.3,446.3
2014,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,441.8,437.3,446.3
2015,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,457.6,453.5,461.7
2016,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,467.0,462.8,471.2
2017,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,471.0,466.3,475.7
2018,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,479.9,476.0,483.799999999999
2019,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,524.0,520.0,528.0
2020,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,531.8,525.5,538.099999999999
2021,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,555.7,550.5,560.9
2022,E09000005,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,562.5,558.7,566.3
2008,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,546.0,540.5,551.5
2009,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,545.6,542.0,549.2
2010,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,527.2,522.9,531.5
2011,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,551.7,547.7,555.7
2012,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,566.6,562.4,570.8
2013,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,581.1,577.1,585.1
2014,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,578.5,574.1,582.9
2015,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,583.8,579.8,587.8
2016,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,584.3,579.699999999999,588.9
2017,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,608.0,603.2,612.8
2018,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,632.7,628.4,637.0
2019,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,638.3,633.3,643.3
2020,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,613.2,606.2,620.2
2021,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,666.6,661.1,672.1
2022,E09000006,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,704.7,699.8,709.6
2008,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,481.6,477.4,485.8
2009,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,496.0,492.7,499.3
2010,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,515.5,512.2,518.8
2011,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,481.7,477.9,485.5
2012,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,493.2,490.2,496.2
2013,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,481.4,478.2,484.599999999999
2014,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,499.0,495.7,502.3
2015,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,492.2,488.4,496.0
2016,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,512.3,508.599999999999,516.0
2017,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,538.5,534.6,542.4
2018,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,550.6,546.9,554.3
2019,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,561.7,557.9,565.5
2020,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,565.1,560.3,569.9
2021,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,613.3,609.199999999999,617.4
2022,E09000008,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,667.7,663.3,672.1
2008,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,504.1,500.6,507.6
2009,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,498.9,495.299999999999,502.5
2010,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,494.5,491.0,498.0
2011,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,486.6,483.1,490.1
2012,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,495.0,490.9,499.1
2013,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,502.1,498.9,505.3
2014,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,498.4,495.2,501.599999999999
2015,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,495.7,491.5,499.9
2016,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,498.3,494.7,501.9
2017,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,517.2,514.2,520.2
2018,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,524.3,519.9,528.699999999999
2019,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,532.2,528.3,536.1
2020,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,566.8,562.3,571.3
2021,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,582.6,578.3,586.9
2022,E09000009,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,601.3,597.8,604.8
2008,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,424.9,419.799999999999,430.0
2009,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,460.2,455.8,464.599999999999
2010,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,439.4,434.299999999999,444.5
2011,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,475.8,471.3,480.3
2012,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,455.4,451.2,459.599999999999
2013,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,450.3,445.6,455.0
2014,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,462.8,457.6,468.0
2015,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,473.6,468.7,478.5
2016,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,463.9,459.4,468.4
2017,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,479.8,475.4,484.2
2018,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,464.8,460.1,469.5
2019,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,490.1,485.5,494.7
2020,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,492.6,487.3,497.9
2021,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,521.5,516.5,526.5
2022,E09000010,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,561.0,555.5,566.5
2008,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,480.8,474.7,486.9
2009,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,513.2,507.7,518.7
2010,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,488.7,483.5,493.9
2011,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,488.0,483.0,493.0
2012,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,470.5,464.6,476.4
2013,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,516.5,512.3,520.7
2014,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,509.1,504.9,513.3
2015,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,532.5,528.3,536.7
2016,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,539.3,534.8,543.8
2017,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,553.0,549.6,556.4
2018,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,566.0,562.7,569.3
2019,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,579.5,574.5,584.5
2020,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,573.1,566.7,579.5
2021,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,618.3,613.199999999999,623.4
2022,E09000011,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,657.4,652.9,661.9
2008,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,479.1,472.7,485.5
2009,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,494.3,489.8,498.8
2010,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,506.1,500.5,511.7
2011,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,487.7,482.599999999999,492.8
2012,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,471.7,465.8,477.599999999999
2013,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,478.9,474.0,483.799999999999
2014,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,492.3,487.8,496.8
2015,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,505.1,500.8,509.4
2016,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,522.8,518.3,527.3
2017,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,543.4,539.199999999999,547.6
2018,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,534.9,529.9,539.9
2019,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,581.9,577.3,586.5
2020,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,570.5,563.9,577.1
2021,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,580.2,574.1,586.3
2022,E09000015,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,620.5,614.2,626.8
2008,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,506.4,501.099999999999,511.7
2009,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,485.7,481.4,490.0
2010,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,493.7,489.0,498.4
2011,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,505.3,501.1,509.5
2012,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,500.9,496.099999999999,505.7
2013,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,489.7,485.099999999999,494.3
2014,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,499.1,494.7,503.5
2015,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,517.5,513.5,521.5
2016,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,532.6,528.1,537.1
2017,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,534.2,528.9,539.5
2018,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,544.8,540.9,548.699999999999
2019,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,568.5,564.3,572.7
2020,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,574.9,569.5,580.3
2021,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,585.7,580.4,591.0
2022,E09000016,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,613.4,608.6,618.199999999999
2008,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,479.1,474.9,483.3
2009,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,480.0,476.4,483.6
2010,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,499.8,495.3,504.3
2011,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,497.4,492.799999999999,502.0
2012,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,509.7,505.8,513.6
2013,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,522.2,518.6,525.8
2014,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,492.5,487.9,497.1
2015,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,498.8,494.7,502.9
2016,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,499.8,496.0,503.6
2017,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,500.4,497.5,503.299999999999
2018,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,531.7,528.3,535.1
2019,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,545.9,542.199999999999,549.6
2020,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,560.9,554.9,566.9
2021,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,594.8,589.0,600.599999999999
2022,E09000017,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,629.6,624.4,634.8
2008,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,435.0,430.2,439.8
2009,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,469.3,465.1,473.5
2010,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,479.0,474.8,483.2
2011,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,473.2,469.0,477.4
2012,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,479.1,474.8,483.4
2013,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,479.1,474.8,483.4
2014,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,463.5,459.6,467.4
2015,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,495.6,492.2,499.0
2016,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,500.9,497.0,504.799999999999
2017,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,517.0,513.2,520.8
2018,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,533.6,529.8,537.4
2019,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,547.6,542.6,552.6
2020,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,511.8,506.1,517.5
2021,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,567.2,561.8,572.6
2022,E09000018,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,595.1,589.7,600.5
2008,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,516.7,510.5,522.9
2009,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,566.2,560.1,572.3
2010,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,544.4,538.6,550.199999999999
2011,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,579.8,574.099999999999,585.5
2012,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,601.1,595.7,606.5
2013,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,604.2,598.3,610.1
2014,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,556.5,549.8,563.2
2015,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,574.6,568.2,581.0
2016,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,566.7,560.2,573.2
2017,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,579.9,573.1,586.699999999999
2018,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,629.7,623.5,635.9
2019,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,628.0,621.6,634.4
2020,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,617.3,609.599999999999,625.0
2021,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,667.9,659.8,676.0
2022,E09000021,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,666.4,660.0,672.8
2008,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,526.0,520.2,531.8
2009,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,529.7,525.8,533.6
2010,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,531.5,527.1,535.9
2011,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,536.9,532.199999999999,541.6
2012,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,538.4,534.3,542.5
2013,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,527.0,522.1,531.9
2014,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,542.9,538.5,547.3
2015,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,548.1,543.9,552.3
2016,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,585.3,580.699999999999,589.9
2017,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,573.0,567.9,578.1
2018,E09000024,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,594.1,589.1,599.1
